question,answers
"What is the name of the village near Birmingham, UK, established by George and Richard Cadbury?",Bournville
Which previous Governor of the Bank of England died in April 2009?,Eddie George
Caster Semenya was subjected to a badly handled inquiry into what?,Her gender
"Actor Laurence Payne who died in February 2009, aged 89, played which fictional detective on TV?",Sexton Blake
As Corpus Christi captain in the University Challenge quiz show who made the news for her remarkable points-scoring?,Gail Trimble
Which fast bowler took five wickets for eleven runs in England's 51 all out against the West Indies?,Jerome Taylor
What horse won the 2009 Grand National?,Mon Mome
"Who was the first female president of the Philipines, who died in August 2009?",Corazon 'Cory' Aquino
The European Union banned the manufacture of which wattage incandescent light-bulb in 2009?,100 watt
What TV artist who helped popularise the Morph animated character died in 2009?,Tony Hart
The British road sign of a red diagonal cross on a blue background in a red circle means what?,No stopping
What is a meeting hall of the Salvation Army called?,Citadel
Who captained the 2009 England women's cricket team?,Charlotte Edwards
What term did former Yahoo! vice-president and author Seth Godin originate whereby potential customers 'opt-in' to receive advertising?,Permission marketing
What is the short ladder made of webbing or rope used in mountaineering?,Etrier
What was Jodie Foster's character in the 1991 film Silence of the Lambs?,Clarice Starling
Who won the 2009 German Formula One Grand Prix?,Mark Webber
Omophagy is the eating of what?,Raw meat
What does a fromologist collect?,Cheese labels
The Curzon Line was the demarcation line between which two countries?,Russia and Poland
What crowd-pleasing song and album title did British folk act Show of Hands derive from a 'reverse acronym' of the collapsed bank AIG?,Arrogance Ignorance and Greed
What is the website address of the United Nations?,www.un.org
"What same three words are in the titles of biographical books about Ronald Reagan, Sarah Palin, Ben Hogan, Benjamin Franklin, Condoleeza Rice and Dr Spock?",An American Life
Whom did Pat Cash defeat in the 1987 Wimbledon Men's Singles Final?,Ivan Lendl
A 'Coney Island whitefish' is slang for a what?,A discarded condom
The TV presenter and journalist born Kim Taylor in November 1960 is better known by what name?,Magenta Devine
"Which Formula One Grand Prix Circuit includes Maggotts Corner, Wellington Straight, and Farm Curve?",Silverstone
Name the exotic dancer who performed with the band Hawkwind in the 1970s?,Stacia
The UK Advertising Standards Authority announced what bus poster advert had attracted the highest number of complaints in 2009?,The Christian Party 'There definitely is a God'
"In botany, if a plant is monocarpic what does it do only once?",Bear fruit
What is the name of Long John Silver's parrot in the novel Treasure Island?,Captain Flint
What did Irish Colonel Thomas Blood attempt to steal in May 1671?,The Crown Jewels
"Which TV character worked for Gateman, Goodbury and Graves funeral parlour?",Herman Munster
What is the plug of tobacco ash left in a pipe after it has been smoked?,Dottle
"In 1838, which steamship made the first crossing of the Atlantic Ocean, from Bristol to New York?",The Great Western
"""The first verse of which song begins """"So you think youve lost your love? Well I saw her yesterday""""?""",She Loves You
"Until Lewis Hamilton's win at Spain in 2007, who held the record for being the youngest driver to lead the Formula One Championship?",Bruce McLaren
"In 1990, mountain climbers Rob Hall and Gary Ball were the first to do what in 7 months?","""Climb the """"Seven Summits"""""""
"On 1 July 2001, who was the IBF Heavyweight Champion, WBC Heavyweight Champion, IBO Heavyweight Champion, USBA Heavyweight Champion, & IBF Intercontinental Heavyweight Champion?",Hasim Rahman
"""According to Lewis Carroll's """"Jabberwocky"""", what were """"all mimsy""""?""",Borogoves
"""Who wrote the play """"Bent""""?""",Martin Sherman
Charlie Chaplin wore his tramp costume for the first time in 1914 in which film?,Kid Auto Races in Venice
"In darts, what is the name of the line behind which the throwing player must stand?",Oche
At which Olympic Games were females allowed to compete at track & field athletics for the first time?,"1928, Amsterdam"
"The design specification for the Ford GT40, which won the Le Mans 24 Hour race four years in a row, specified that car be a maximum of ?",40 inches high
Where was the battle fought between the Royalist forces under Prince Rupert and Oliver Cromwell's men in June 1645 that was the key to the final downfall of Royalist forces a year later?,Naseby
"What are the Christian names of J K Rowling, the creator of Harry Potter?",Joanne Kathleen
What fate made Spencer Perceval unique among British Prime Ministers?,He was assassinated
"What is the next in the series: Calgary, Canada; Albertville, France; Lillehammer, Norway; Nagano, Japan?","Salt Lake City, United States"
"Which impresario, music manager and record producer has been involved with The Rolling Stones, The Yardbirds, Graham Gouldman, Godley and Creme, (later 10cc), Soft Machine, and Julie Driscoll, Brian Auger & The Trinity?",Giorgio Gomelsky
"Which Olympic Games were the first where all continents were represented, with all athletes competing in one stadium?","1912, Stockholm"
What was the occupation of Vaslav Nijinsky from 1908?,Dancer and choreographer
What does the number of protons in the nucleus of an atom relate directly to?,Its atomic number
Where in New York city are the New York Zoo and the New York Botanical Gardens?,Bronx Park
"What type of design was used for London's Millennium Footbridge across the Thames, that opened on 10 June 2000?",Steel suspension bridge
What is the name of the geochemical component that has no known terrestrial counterpart which was discovered in The Genesis Rock retrieved during the Apollo 15 mission?,KREEP
Who was the driver of the car in which co-driver Michel Perin broke his arm when they crashed during the Dakar Rally in January 2009?,Carlos Sainz
"""A film released in 1971, starring David Hemmings and Michael Kitchen, based on a 1958 radio play by Giles Cooper, was called """"Unman, Wittering and """" who?""",Zigo
"Pi, a mathematical constant whose value is the ratio of a circle's circumference to its diameter, is the same value as what other ratio?",A circle's area to the square of its radius
"""What does """"in vino veritas"""" mean?""",In wine there is truth
"""In what film did Mae West as Lady Lou (starring with Cary Grant) first say """"why'n'cha come up and see me sometime?""""?""",She Done Him Wrong
"""The band currently touring as """"Eric Burdon & The Animals"""" has which of the original Animals as one of Eric Burdons backing musicians?""",Hilton Valentine
"After Canadian sprinter Ben Johnson won the 100 metre dash at the 1988 Seoul Olympics, why was his gold medal taken away and awarded to runner-up Carl Lewis?",He failed a drug test
"""In the original meaning of """"decimate"""", who is killed?""",Every tenth person
"""if someone is said to """"have green fingers"""", we expect them to be successful as what?""",Gardener
What name is given by scholars to the first 6 books of the Old Testament of the Bible?,Hexateuch
"Which manufacturer of pens had a large production plant in Birmingham, UK, during the first half of the 20th century?",Osmiroid
"What is the next in the series: Innsbruck, Austria; Grenoble, France; Sapporo, Japan; Innsbruck, Austria?","Lake Placid, United States"
"The circuit at Parc Jean-Drapeau on le Notre-Dame, a man-made island in the St. Lawrence River, is named after which winner of the Formula One World Championship for drivers?",Gilles Villeneuve
"Who won the 1986 World Cup Squash title, breaking another player's five year unbeaten run?",Ross Norman
What are the names of the twins born to Brad Pitt and Angelina Jolie?,Vivienne and Knox
"What were first established by St Bel at Lyons, France, in 1762, and at London in 1790?",Veterinary colleges
"""Who wrote the music for the musical (and later, film) """"Cabaret""""?""",John Kander and Fred Ebb
Where would you find a eustachian tube?,In the ear
"Who won a record six motorcycle speedway World Championships in 1968, 1969, 1970, 1972, 1977 and 1979?",Ivan Mauger
At which Olympic Games did a water polo match between Hungary and the Soviet Union end as a pitched battle between the teams?,"1956, Melbourne"
The Snake River runs through Hells Canyon on the border of which two US states?,Oregon and Idaho
"Which castle, when used as a prison for prisoners of war in World War II, was known as Oflag VII C?",Colditz
"Which two American track and field athletes, who finished first and third in the 200 metres, were sent home from the 1968 Olympics in Mexico City after they performed the Black Power salute on the victory stand?",Tommie Smith and John Carlos
At which Olympiad did the Olympic symbol of five rings officially debut?,"1920, Antwerp"
"Where did the Greek god Helios go home to sleep at night, where he lived with his brother, Eos?",In the sea
The United Nations Charter was signed by 50 nations in San Francisco on which day?,26 June 1945
"In a popular children's story, what is the name of the young tugboat that saves an ocean liner?",Little Toot
What was the last engineering work completed by Isambard Kingdom Brunel?,Great Eastern steamship
"Who designed the wedding dress for the marriage of Lady Diana Spencer to Charles, Prince of Wales?",David and Elizabeth Emanuel
Canada is divided into how many provinces and how many territories?,10 provinces and 3 territories
"""In music, which word means """"lively"""" or """"animated""""?""",Vivace
"In England, the monarch has the power of veto over any proposed legislation from Parliament by withholding the Royal Assent. Who last used this power?",Queen Anne in 1708
"Romulus, co-founder of Rome, was deified after his death and worshipped as which God?",Quirinus
"The Mason-Dixon Line, surveyed by Charles Mason and Jeremiah Dixon, which became a popular name for the dividing line between the slave and free states, is the boundary between which two states of the USA?",Pennsylvania and Maryland
Who won gold for the individual pursuit at the Track Cycling World Championships in 2009?,Alison Shanks
"""Jacques Seguela wrote """"Autobiographie Non Autorise"""" about Carla Bruni, supermodel-singer, and her most recent lover at the time, which was who?""",French president Nicolas Sarkozy
"The Great Western Railways City of Truro was unofficially recorded as the first steam locomotive to reach a speed of 102.3 mph (164 km/h) on 9 May 1904, but the 100 mile per hour (160 km/h) record was not officially recorded until 30 November 1934, by which locomotive?",Flying Scotsman
"""Who wrote the songs for the film version of """"The Wizard of Oz""""?""",Harold Arlen and E Y Harburg
Pharology is the study of what?,Lighthouses and signal lights
Who has won the most Olympic Gold medals?,"Michael Phelps, USA"
"At the medal ceremonies for events at the Olympics, national anthems are played for those who have which placing(s)?",First place
What was patented in London by Ralph Wedgewood in 1806?,Carbon paper
The Scrabble game board is marked with what sized grid?,15 by 15
"What was the dolphin that accompanied vessels near French Pass, a channel used by ships sailing between Wellington and Nelson, New Zealand between 1888 and 1912?",Pelorus Jack
"""What card game was derived from the 16th century Italian game called """"ronfa""""?""",Piquet
How high should a badminton net be at the centre?,1.524 metres (5 ft)
"What is the most prestigious event at the Henley Royal Regatta, for a cup which has been awarded since the regatta was first staged?",The Grand Challenge Cup for Men's Eights
"In the nursery rhyme, who sat on a wall and had a great fall?",Humpty
A tabard is a type of what?,Short coat
Who invented the spa bath?,Candido Jacuzzi
Who is the wife of golfer Greg Norman?,Tennis star Chris Evert
"What structure was designed by John A Roebling, who supervised construction until his death when the project was taken over by his son, Washington?","Brooklyn Bridge, New York"
Most of the Ozark Plateau is in which two US states?,Missouri and Arkansas
"Traditionally, what can women do on 29 February that they cannot do on any other date?",Propose marriage
The Russo Japanese War of 1904-1905 ended when the Russian Fleet under Rozhdestvensky was defeated at the Battle of Tsushima by a fleet led by whom?,Admiral Togo Heihachir
The Yucatan Channel is between which two countries?,Mexico and Cuba
For what were medals competed for at Olympic Games from 1912 until discontinued after the competition in 1948?,Art competitions
Where was the decisive battle on 24 June 1314 where Robert Bruce defeated Edward II's army and secured the independence of Scotland at that time?,Bannockburn
"In 2001, Count Jacques Rogge replaced Juan Antonio Samaranch as head of what body?",International Olympic Committee (IOC)
The mnemonic Roy G. Biv is an aid to remembering what?,The colours of the rainbow
"For administrative purposes, Turkey is divided into 81 provinces, formerly termed vilayet, which are now called what?",Iller
"""In Shakespeare's """"Hamlet"""", who was Ophelia's father?""",Polonius
What caused it to snow in New England at least once every month during 1816?,The eruption of Tambora
"What was the title of Gary Barlow's autobiography, released in 2006?",My Take
What are the names of the late Michael Jackson's parents?,Joseph and Katherine
"The first women's Olympic competition for gymnastics, at the 1928 Games in Amsterdam, involved only which type of activity?",Synchronized calisthenics
French aviator Louis Bleriot was the first to do what in an aeroplane on 25 July 1909?,Cross the English Channel
A billion in short scale is 1 followed by 9 zeroes. What is it in long scale?,1 followed by 12 zeroes
Juan Antonio Samaranch was the head of which organisation from 1980 to 2001?,International Olympic Committee (IOC)
What was the motto of the arms of England during the reigns of Elizabeth I and Anne?,Semper Eadem
What method of engraving involves cutting lines cut into copper by means of a pointed steel tool?,Dry point
What is the world's richest horse race?,Dubai World Cup
"""What is always on the label of a bottle of the green liqueur """"Benedictine""""?""",D. O. M.
What is the southernmost point in all U.S. territory?,"Rose Atoll, American Samoa"
"A New Zealand squash player who dominated the sport in the late 1980s and early 1990s, winning the World Open 4 times, is Susan who?",Devoy
"Which family includes Louis, a television journalist, his father Paul, a travel writer and novelist, his elder brother Marcel, a writer and television presenter and his cousin Justin, an American actor?",Theroux
"Who was president of the Fdration Internationale de Football Association (FIFA), when, on 28 May 1928, the FIFA Congress in Amsterdam decided to stage a world championship?",Jules Rimet
"Susan Mayer, Lynette Scavo, Bree Van de Kamp, Gabrielle Solis, Edie Britt, Mary Alice Young, Betty Applewhite, Katherine Mayfair and Karen McCluskey have all lived in which street?",Wisteria Lane
Which British racing car manufacturer and Formula One racing team won four drivers' and two constructors' world championships in its 30-year Formula One history?,Brabham (Motor Racing Developments Ltd)
"""What does """"pro forma"""" mean?""",In a set manner
The Keil Canal links which 2 seas?,North and Baltic
Where was film actor Errol Flynn born in 1909?,"Hobart, Tasmania, Australia"
"In London, where are the trials of the pyx held?",Hall of the Worshipful Company of Goldsmiths
"""Who are the two main characters in the TV series """"The Big Bang Theory""""?""",Sheldon and Leonard
"""According to the old song, when will I """"be waiting at the k-k-kitchen door"""" for """"K-K-Katy, beautiful Katy""""?""",The m-m-moon shines over the cowshed
Where does Harry Potter have a scar in the shape of a bolt of lightning?,On his forehead
"""Which 19th century French artist is best known for his illustrations for the """"Bible"""", """"Paradise Lost"""", Dante's """"Inferno"""", """"Don Quixote"""" and the works of Rabelais and Balzac?""",Gustave Dor
"By the time his Olympic career ended in 1960, who had won more Olympic medals than any other fencer?",Edoardo Mangiarotti
The Drake Equation calculates the potential number of what?,Extraterrestrial civilizations in the Milky Way
"Which company bought the Daimler, Lanchester, Jaguar and Land Rover brand names in March 2008?","Tata Motors, India"
"""In music, what does """"pp"""" mean?""",Very soft
Where are the Straits of Bonifacto?,Between Corsica and Sardinia
George Whitefield and Jonathan Edwards were well known in the British American colonies in the mid 18th century for being what?,Methodist preachers
Who were Mr and Mrs Munster in the 1960s TV series?,Lily and Herman
What is the only joint rule in the history of England?,William III and Mary II
"On 17 September 1862, where was The Battle of Antietam, the first major battle in the American Civil War to take place on Northern soil and the bloodiest single-day battle in American history (with about 23,000 casualties)?","Near Sharpsburg, Maryland"
"""Where is the British Royal Yacht """"Britannia"""", decommissioned in 1997, permanently moored as a visitor attraction?""","Ocean Terminal, Leith, Edinburgh, Scotland"
17 year old Zac Sunderland made the world's news in July 2009 for doing what?,Sailing around the world solo
"In a film script, what do the letters MCU mean?",Medium Close Up
"What book published in 1864 by William Wallace Mitchell, a Glasgow Cotton Merchant, became the basis of the rules of a modern game?","""""""Manual of Bowls Playing"""""""
What was worn by the leader of the first Tour de France?,Green armband
"""In 1959, the Soviet space probe """"Luna Two"""" became the first man-made object to do what?""",Reach the moon
What is the surname of Rebecca in the novel by Daphne du Maurier?,De Winter
"In bridge, the four players are referred to as what?","North, East, South and West"
"""What is meant by """"persona non grata""""?""",An unwelcome person
"A test developed in 1924 by R.L. Smith & G.E. Sandland at Vickers Ltd as an alternative to the Brinell method, is used to measure what?",The hardness of materials
"What Royal residence in London, originally part of St James's Palace, was used as the London residence of Princess Elizabeth and the Duke of Edinburgh from 1949 to 1952?",Clarence House
What is the name of the hall in which meetings of the Salvation Army are held?,Citadel
"Because of the speed at which the earth and the moon move relative to the sun, a total solar eclipse can never last more than how long?",7 minutes 31 seconds
Where in London was the first Globe Theatre built in 1599?,"Bankside, Southwark"
Where was the 2008 Ryder Cup competition held?,Valhalla Golf Club
"In 1979, Lord Louis Mountbatten was killed when a IRA bomb exploded where?",On his boat
"""Who recorded the duet """"Especially For You"""" in 1988?""",Kylie Minogue and Jason Donovan
"Search for Extra-Terrestrial Intelligence (SETI) is the collective name for a number of activities to search for extra-terrestrial life using scientific methods to search for what, specifically?",Electromagnetic transmissions
"According the Bible, who was the cousin of Mordecai?",Esther
"In 1978, Italian Prime Minister Aldo Moro was found dead where?",In the boot of a car
"What word was used by poets and nineteenth-century Irish nationalists in English as a romantic name for Ireland, that is the name sometimes given to the female personification of Ireland?",Erin
The British Royal Mint that was established in the Tower of London in 1279 and moved to an adjacent site on Tower Hill in 1809 is now situated where?,"Llantrisant, South Wales"
"""As what does """"vermicelli"""" literaly translate from the Italian?""",Little worms
"The Hesketh racing team, with its Union Jack Teddy Bear logo, founded by Lord Hesketh and Anthony 'Bubbles' Horsley, had its greatest successes in Formula One when they employed which driver?",James Hunt
"""How much treacle was there in the nursery rhyme """"Pop! Goes the Weasel""""?""",Half a pound
"""Small coloured dots on a squash ball indicate its """"bounciness"""". Which colour, introduced in 2000, is the international competition standard?""",Double-yellow dot
"The Equitable Life Assurance Building in New York City, built in 1870, and 130 feet (40 m) high, was the first office building to be equipped with what?",Passenger elevators
"""In medicine, which suffix denotes """"inflammation of""""?""",-itis
What does a spelunker do as a hobby?,Explore caves
"Who, co-founders of the Spartacist League in January 1916, were executed in Berlin in January 1919?",Rosa Luxemburg and Karl Liebknecht
"""Bill Bryson called his 2006 autobiography """"The Life and Times of .. """" who?""",The Thunderbolt Kid
"Who was the youngest player to appear in a major league game in the modern era, pitching 2/3 of an inning for the Cincinnati Reds against the St. Louis Cardinals in 1944 when not quite 16 years old?",Joe Nuxhall
"Which photographer who emigrated to Canada in 1937 is best known for his photographs of the Ottawa region (his picture of floating logs on the Ottawa River was on the 1969-1979 series Canadian $1 bill), and was made an Officer of the Order of Canada in 1996?",Malak Karsh
"""What was the nickname of the British army regiment called the """"8th King's Royal Irish Hussars""""?""",The Crossbelts
"In 2009, Michael Perham, at the age of 17 years and 164 days, became the youngest person to do what?",Sail solo around the world
"According to the song, who loved Puff, the magic dragon?",Little Jackie Paper
"Which sisters have been romantically linked to Nick Lachey, John Mayer, Tony Romo and Pete Wentz?",Jessica and Ashlee Simpson
"""In the USA between 1852 and 1883, who were Reelfoot Williams, Tom Bell, Rattlesnake Dick and Charles Bolles (a.k.a. """"Black Bart"""")?""",Stagecoach robbers
What did American hero Davy Crockett call his musket?,Old Betsy
"Besides the relatively recent annual honorarium of 5,750, the Poet Laureate of the UK has, since the 1500s, been traditionally rewarded annually with what?",A butt of sack
What US federal agency that was founded on 3 March 1915 was dissolved on 1 October 1958?,National Advisory Committee for Aeronautics (NACA)
"What is the name for the numerous tiny flowers that comprise a flower head of, for example, a daisy or sunflower?",Florets
"Before becoming president of the USA in 1977, and after being discharged from the Navy in 1953, Jimmy Carter took over and expanded his family business in Plains, Georgia. What was the business?",Peanut farm
"What is the connection between the computer programming language ADA, developed in 1980, and the daughter of poet Lord Byron?","""Charles Babbage's """"analytical engine"""""""
Who won the 500cc Motorcycle World Championship in 1976 & 1977 and retired from racing in 1984?,Barry Sheene
"""A """"bodice ripper"""" is a type of what?""",Historical romance novel
"""Who plays Lexie Grey in the US TV series """"Grey's Anatomy""""?""",Chyler Leigh
Where is the tendon known as the hamstring?,Behind the knee
What was the title of Susan Boyle's hit record at the end of 2009?,I Dreamed a Dream
"What name was popularly given to the event on 6 December 1989 when Marc Lpine killed 14 women and injured 10 women and 4 men, now commemorated annually in Canada as the National Day of Remembrance and Action on Violence Against Women?",The cole Polytechnique Massacre
"""Which school is the setting for the 1939 film """"Goodbye, Mr. Chips""""?""",Brookfield Public School
What were the middle names of Oscar Wilde?,Fingal O'Flahertie Wills
"""According to the English nursery rhyme, who """"put the kettle on""""?""",Polly
"""Who wrote """"Futility"""" (1898) about an enormous """"unsinkable"""" British passenger liner called the Titan, which hits an iceberg and sinks in the North Atlantic with the loss of nearly all on board?""",Morgan Robertson
"""In the film """"Basic Instinct"""" (1992) Detective Nick Curran and Catherine Tramell were played by which actors?""",Michael Douglas and Sharon Stone
What is the name for a badger's nest?,Sett
"In the Gospel of Nicodemus, what were the names of the two people were crucified alongside Jesus?",Dismas and Gestas
"""What did Ellen MacArthur achieve with """"B&Q;/Castorama"""" on 7 February 2005?""",Broke the world record for the fastest solo circumnavigation of the globe
"""The UK TV series """"Doctor in the House"""", based on books by Richard Gordon, was set in which hospital?""",St Swithin's
"Which legendary couple are said to be buried at Glastonbury, Somerset, England?",Arthur and Guinevere
What is the name of the sterling silver salver awarded to the Wimbledon Ladies' Singles champion?,Venus Rosewater Dish
Ochlophobia is a fear of what?,Crowds
"In 2010, Neil Robertson became the second Australian to win the World Snooker Championship title. Who was the first, who won the 1952 championship?",Horace Lindrum
How did Helen Sharman make history in 1991?,First British person in space
"What embroidery technique is to gather fabric so that it can stretch, and was commonly used in cuffs, bodices, and necklines in garments where buttons were undesirable before elastic?",Smocking
"""What was the official date of the formation of the """"United Kingdom of Great Britain and Ireland""""?""",1 January 1801
"On 21 May 2004, Pemba Dorjie set a new record for climbing to the top of Mt Everest from Basecamp in the fastest time. What was the new record?",8 hours and 10 minutes
"""Sheep are aged by their teeth and are referred to by the number of permanent incisors that have erupted. About how old is a """"four-tooth""""?""",1.5 to 2 years
"In May 2010, at the age of 13, Jordan Romero became the youngest person to do what?",Climb Mt. Everest
"What rating system for talk shows, defined as the ratio of interrupted sentences versus all sentences within a typical program, expressed as a percentage, was invented by author Stephen Euin Cobb?",Ignorance index
"What originated as a French folk dance, notated in 4/4 or 2/2 time at moderate tempo, with a distinctive rhythmic feature, as phrases begin in the middle of the bar (on the third quarter note), creating a half-measure upbeat?",Gavotte
"According to the nursery rhyme, where did Peter Peter pumpkin eater keep his wife?",Pumpkin shell
Which film directed by Michelangelo Antonioni showed the nature and emotions of the characters when Claudia (played by Monica Vitti) searched with her lover Sandro (Gabriele Ferzetti) for her sister Anna (Lea Massar)?,L'avventura (The Adventure)
"""In the USA and Canada, what does """"MLS"""" signify?""",A professional soccer league
"Who is the next in this series: Annette Kaye, Frada Miller, Alene Akins, Mickey Sutphin, Alene Akins, Sharon Lepore, Julie Alexander, ... ?",Shawn Southwick
"The first 3 winners of which road bicycle race were Emile Rogiers (BEL) in 1948, Gerrit Schulte (NED) in 1949 and Henk Lakeman (NED) in 1950?",Ronde van Nederland
"Which American rock, folk, and alt-country singer/songwriter, a three-time Grammy Award winner, was named Americas best songwriter by TIME magazine in 2002?",Lucinda Williams
"""Sheep, which are aged by their teeth, are referred to by the number of permanent incisors that have erupted. About how old is a """"six-tooth""""?""",2 to 3 years
"In South Slavic (Bosnian, Bulgarian, Croatian, Macedonian, Montenegrin, Serbian and Slovenian) mythology, what is raskovnik?",Magical herb
What was the last battle where a British monarch led troops into battle?,"Dettingen, 1743"
What is the tallest known volcano and mountain in the Solar System?,"Olympus Mons, on Mars"
"What is the colloquial name for people from Wiltshire, a county of South West England, that arose from a folk tale?",Moonrakers
"Which story by Hans Christian Andersen involves Kai, Gerda and a splintered mirror?",The Snow Queen
"""Which school is the setting for the 1955 film """"Blackboard Jungle""""?""",North Manual High School
Louis Goldenberg and Alva J. Fisher have been credited with the invention of what device?,Electric washing machine
"""In the words of the old song, """"My old man said 'Follow the van, and don't ... what ... On the way' """"?""",Dilly dally
"First released in 1928, which animated cartoon was the first to feature Mickey & Minnie Mouse?",Plane Crazy
What temperature is the equivalent of 0 degrees Kelvin?,-273.15 degrees Celsius
"What annual three day event held near Stamford, Lincolnshire, England, was first organised by the 6th Marquess of Exeter in 1961?",Burghley Horse Trials
"""Which construction, designed by Finnish-American architect Eero Saarinen and structural engineer Hannskarl Bandel in 1947, that stands 630 feet (192 m) tall and is 630 feet (192 m) wide at its base, is called """"the tallest monument in the USA""""?""","The Gateway Arch, in St. Louis, Missouri,"
"""Who is the boss of the fictional Inspector Clouseau of the French Sret in the """"Pink Panther"""" series of films?""",Chief Inspector Dreyfus
"What are the first names of Torville and Dean, who were the highest ever scoring figure skaters for a single programme at the 1984 Winter Olympics?",Jayne and Christopher
"These are the last lines of which play: H: Shall the worms declare his truth? Go to him, take his shame away. E: He have his goodness now. God forbid I take it from him.","""""""The Crucible"""" by Arthur Miller"""
"Gee Jon. a member of the Hip Sing Tong criminal society from San Francisco, California, sentenced to death for the murder of an elderly member from another gang in Nevada, was the first person in the US to do what?",Be executed by lethal gas
"On 14 November 1910, Eugene Burton Ely was the first to do what in an aeroplane?",Take off from a ship
"US baseball player Pete Rose was accused in 1989 of (and he confessed in 2004 to) what, that has made him ineligible to be inducted into the Baseball Hall of Fame?",Betting on baseball
"What was the occupation of Samuel Ryder, after whom The Ryder Cup is named?",Seed merchant
Who created the character of Dame Edna Everage?,Barry Humphries
The game of Sudoku involves filling in squares with what numbers?,1 to 9
"Frank Dekum, a 19th-century banker in Portland, Oregon, contributed money to import what to Oregon?",German song birds
"""According to a musical by Gilbert and Sullivan, whose """"lot is not a happy one""""?""",Policeman's
What is the name for money obtained from illegal activities?,Ill gotten gains
"Anne Geddes, an Australian-born photographer and clothing designer, is known for her stylized depictions of what?",Babies and motherhood
"According to the nursery rhyme, where does the Muffin Man live?",In Drury Lane
Approximately how far is the moon from Earth?,"240,000 miles"
"What is a traditional form of whitework embroidery which involves the tufting or knotting of the yarn, on top of a muslin fabric to create patterns?",Candlewick
"What vehicle was sold to John and Maureen Hendricks at the Barrett-Jackson Auto Auction in Scottsdale, Arizona, in 2005, for a record $3,240,000?",1954 Oldsmobile F-88 Convertible Concept Car
"""In the song """"My Generation"""" by the Who, what words follow the line """"People try to put us down""""?""",Just because we get around
"In November 2010, Swiss voters decided to expel what category of people from the country?",Foreigners convicted of serious crimes
"""What fictional football club was the centre for the UK TV series """"Footballers' Wives""""?""",Earl's Park
"""John Cleese played what character in the film """"The World is not Enough""""?""",Q's assistant
"""A referendum that took place in Quebec on 30 October 1995, which was defeated 49.42% """"Yes"""" to 50.58% """"No"""", concerned what?""",Quebec should secede from Canada
At what time of day does the church service called vespers take place?,Evening
"What was unusual about how George I, a 17 year old Danish prince, became King of the Hellenes, ruling from 1863 to 1913?",He was elected King by the Greek National Assembly
"On 1 May 2010, where was a car bomb in a Nissan Pathfinder, which failed to ignite properly, disarmed with no casualties?","Times Square, New York City"
What is the main commercial flatfish in Europe?,Plaice
What are people employed in a theatre to interface with the audience called?,Front of House staff
"""The 2008 British film """"Slumdog Millionaire"""" directed by Danny Boyle is an adaptation of what 2005 novel?""","""""""Q & A"""" by Vikas Swarup"""
"""""""Kraal"""" is an Afrikaans and South African English word for what?""",An enclosure for livestock
What letters of the modern basic Latin alphabet do not occur in the Turkish alphabet?,"Q, W and X"
"The Mason-Dixon line, originally surveyed to define the border between Pennsylvania and Maryland, is along which longitude?",40th parallel
"Goalkeeper Jens Ramme's debut for Dynamo Dresden was in the quarter-final of the 198586 European Cup Winners' Cup, when they were 31 up at half-time and he was brought on as a replacement. He let in six goals in 29 minutes: Dynamo lost. They were playing against which team?",Bayer Uerdingen of West Germany
When does a biannual event occur?,Twice a year
"""Sheep are aged by their teeth and are referred to by the number of permanent incisors that have erupted. About how old is a """"two-tooth""""?""",1 to 1.5 years
What fraction of a millimeter is a nanometer?,One millionth
"Who took the official photographs on 25 November, relating to the engagement of Prince William and Kate Middleton, which were released in December 2010?",Mario Testino
Where do aquatic creatures live?,In water
Why was wrestler Ara Abrahamian of Sweden disqualified by the IOC and stripped of his rejected bronze medal at the 2008 Summer Olympics?,Disrupting the award ceremony
When did the United Kingdom convert to decimal currency?,15 February 1971
What is an expression used to describe across a number of different sports the apparent loss of certain fine motor skills seemingly without explanation?,The yips
"""In the British series of """"The Office"""", the character of Gareth is played by which actor?""",Mackenzie Crook
"""Which film was notable for the legal battle that ensued when first Madonna then Kim Basinger backed out of the title role, and for winning a """"Worst Director"""" award for David Lynch at the Golden Raspberry Awards?""",Boxing Helena
"Canadian folk music singer-songwriter, Kate McGarrigle, who died in 2010, was the mother of whom?",Rufus and Martha Wainwright
"If someone is narcoleptic, what do they tend to do?",Fall asleep
"""Who formulated the """"Law"""" that, in a paramagnetic material, the magnetization of the material is (approximately) directly proportional to an applied magnetic field, but if the material is heated, the magnetization is (approximately) inversely proportional to temperature?""",Pierre Curie
"""What would one do with a """"snood""""?""",Wear it
What is the technical term for heart burn?,Pyrosis
"""Where is the British TV series """"Doc Martin"""" set?""",Portwen
"""Swiss scientist Albert Hofmann was talking about what when he said """"I think that in human evolution it has never been as necessary to have this substance. It is just a tool to turn us into what we are supposed to be. ?""",Lysergic acid diethylamide (LSD)
"""Harold I of England was nicknamed """"Harold """" what?""",Harefoot
"""Who featured on the 2006 UK #1 single """"Thunder in My Heart Again"""" by Meck SP?""",Leo Sayer
"""What does """"feng shui"""" mean literally?""",Wind and water
"Which New Zealand cricketer, a left-handed batsman who captained New Zealand in 4 Tests in the early 1950s, was one of Wisden's cricketers of the year for 1950?",Bert Sutcliffe
"During World War II, what was the name given to deliberately created simulations of burning towns that were constructed in Britain to decoy German night bombers away from bombing real towns?",Starfish sites
